City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Faya,SA,77.11,few clouds,18.3851,42.4509,املاك خالد الشعشوع
637,Kaseda,JP,87.03,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
640,Okuchi,JP,84.88,overcast clouds,32.0667,130.6167,丸屋旅館
646,Bijie,CN,76.05,scattered clouds,27.3125,105.2942,Four Points by Sheraton Bijie
647,Lucea,JM,80.46,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
650,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
652,Luau,AO,83.88,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
653,Ankazoabo,MG,84.38,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
654,Myanaung,MM,85.17,overcast clouds,18.2833,95.3167,Taung Hlay Khar
656,Saint Pete Beach,US,81.0,few clouds,27.7253,-82.7412,Sirata Beach Resort
662,Garissa,KE,83.05,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
664,Garoua,CM,75.6,few clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
679,Djibo,BF,79.61,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
683,Mogadishu,SO,80.37,overcast clouds,2.0371,45.3438,Hotel Juba
684,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
688,Hurghada,EG,87.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
690,Cuamba,MZ,78.12,scattered clouds,-14.8031,36.5372,Hotel Vision
693,Bani Walid,LY,86.47,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
694,Dakar,SN,82.53,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
696,Pahrump,US,82.6,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
697,Abu Zabad,SD,81.79,overcast clouds,12.35,29.25,حامد محمد نور
698,Dalianwan,CN,75.24,light rain,39.0286,121.695,Huanghai Hotel
699,Jiazi,CN,86.85,scattered clouds,22.8779,116.067,Hotel Jin Hao
700,Naze,JP,85.12,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
703,Puerto Cabezas,NI,75.9,broken clouds,14.0351,-83.3888,Cabaña Caribe
704,Larap,PH,85.84,overcast clouds,14.299,122.6504,Montemayor Cove
705,Sterling,US,76.44,thunderstorm,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
